population,threshold_nats,k_fp,n_neg,fpr,k_tp,n_pos,tpr,fires
fair_pool_correct_stratum,inf,0,200,0.000000,0,200,0.000000,0
fair_pool_correct_stratum,2.302585093,19,200,0.095000,55,200,0.275000,1
fair_pool_correct_stratum,2.163955657,43,200,0.215000,89,200,0.445000,1
fair_pool_correct_stratum,2.025326221,53,200,0.265000,104,200,0.520000,1
fair_pool_correct_stratum,1.973001406,58,200,0.290000,115,200,0.575000,1
fair_pool_correct_stratum,1.83437197,65,200,0.325000,123,200,0.615000,1
fair_pool_correct_stratum,1.748067349,76,200,0.380000,139,200,0.695000,1
fair_pool_correct_stratum,1.695742534,78,200,0.390000,141,200,0.705000,1
fair_pool_correct_stratum,1.64341772,81,200,0.405000,143,200,0.715000,1
fair_pool_correct_stratum,1.609437912,89,200,0.445000,150,200,0.750000,1
fair_pool_correct_stratum,1.504788284,91,200,0.455000,151,200,0.755000,1
fair_pool_correct_stratum,1.497866137,102,200,0.510000,160,200,0.800000,1
fair_pool_correct_stratum,1.470808476,103,200,0.515000,161,200,0.805000,1
fair_pool_correct_stratum,1.418483662,107,200,0.535000,165,200,0.825000,1
fair_pool_correct_stratum,1.359236701,111,200,0.555000,167,200,0.835000,1
fair_pool_correct_stratum,1.279854226,112,200,0.560000,170,200,0.850000,1
fair_pool_correct_stratum,1.227529411,128,200,0.640000,179,200,0.895000,1
fair_pool_correct_stratum,1.193549604,130,200,0.650000,181,200,0.905000,1
fair_pool_correct_stratum,1.16828245,132,200,0.660000,181,200,0.905000,1
fair_pool_correct_stratum,1.088899975,139,200,0.695000,182,200,0.910000,1
fair_pool_correct_stratum,1.054920168,140,200,0.700000,182,200,0.910000,1
fair_pool_correct_stratum,0.943348392,144,200,0.720000,182,200,0.910000,1
fair_pool_correct_stratum,0.940447989,150,200,0.750000,190,200,0.950000,1
fair_pool_correct_stratum,0.897945725,153,200,0.765000,190,200,0.950000,1
fair_pool_correct_stratum,0.801818553,157,200,0.785000,192,200,0.960000,1
fair_pool_correct_stratum,0.63903186,172,200,0.860000,195,200,0.975000,1
fair_pool_correct_stratum,0.500402424,173,200,0.865000,196,200,0.980000,1
fair_pool_correct_stratum,0.325082973,189,200,0.945000,198,200,0.990000,1
fair_pool_correct_stratum,0.0,200,200,1.000000,200,200,1.000000,1
full_labelled_pool_correct_stratum,inf,0,1424,0.000000,0,576,0.000000,0
full_labelled_pool_correct_stratum,2.302585093,150,1424,0.105337,145,576,0.251736,1
full_labelled_pool_correct_stratum,2.163955657,303,1424,0.212781,253,576,0.439236,1
full_labelled_pool_correct_stratum,2.025326221,360,1424,0.252809,289,576,0.501736,1
full_labelled_pool_correct_stratum,1.973001406,431,1424,0.302669,336,576,0.583333,1
full_labelled_pool_correct_stratum,1.886696785,437,1424,0.306882,344,576,0.597222,1
full_labelled_pool_correct_stratum,1.83437197,494,1424,0.346910,364,576,0.631944,1
full_labelled_pool_correct_stratum,1.748067349,577,1424,0.405197,400,576,0.694444,1
full_labelled_pool_correct_stratum,1.695742534,591,1424,0.415028,405,576,0.703125,1
full_labelled_pool_correct_stratum,1.64341772,608,1424,0.426966,409,576,0.710069,1
full_labelled_pool_correct_stratum,1.609437912,668,1424,0.469101,428,576,0.743056,1
full_labelled_pool_correct_stratum,1.504788284,677,1424,0.475421,429,576,0.744792,1
full_labelled_pool_correct_stratum,1.497866137,761,1424,0.534410,460,576,0.798611,1
full_labelled_pool_correct_stratum,1.470808476,766,1424,0.537921,465,576,0.807292,1
full_labelled_pool_correct_stratum,1.418483662,786,1424,0.551966,473,576,0.821181,1
full_labelled_pool_correct_stratum,1.359236701,833,1424,0.584972,481,576,0.835069,1
full_labelled_pool_correct_stratum,1.279854226,838,1424,0.588483,487,576,0.845486,1
full_labelled_pool_correct_stratum,1.227529411,922,1424,0.647472,514,576,0.892361,1
full_labelled_pool_correct_stratum,1.220607265,928,1424,0.651685,515,576,0.894097,1
full_labelled_pool_correct_stratum,1.193549604,936,1424,0.657303,517,576,0.897569,1
full_labelled_pool_correct_stratum,1.16828245,953,1424,0.669242,520,576,0.902778,1
full_labelled_pool_correct_stratum,1.088899975,997,1424,0.700140,530,576,0.920139,1
full_labelled_pool_correct_stratum,1.054920168,999,1424,0.701545,530,576,0.920139,1
full_labelled_pool_correct_stratum,1.029653014,1000,1424,0.702247,530,576,0.920139,1
full_labelled_pool_correct_stratum,0.943348392,1009,1424,0.708567,533,576,0.925347,1
full_labelled_pool_correct_stratum,0.940447989,1082,1424,0.759831,553,576,0.960069,1
full_labelled_pool_correct_stratum,0.897945725,1102,1424,0.773876,553,576,0.960069,1
full_labelled_pool_correct_stratum,0.801818553,1125,1424,0.790028,557,576,0.967014,1
full_labelled_pool_correct_stratum,0.693147181,1127,1424,0.791433,557,576,0.967014,1
full_labelled_pool_correct_stratum,0.673011667,1129,1424,0.792837,557,576,0.967014,1
full_labelled_pool_correct_stratum,0.63903186,1203,1424,0.844803,565,576,0.980903,1
full_labelled_pool_correct_stratum,0.610864302,1211,1424,0.850421,567,576,0.984375,1
full_labelled_pool_correct_stratum,0.500402424,1230,1424,0.863764,568,576,0.986111,1
full_labelled_pool_correct_stratum,0.325082973,1342,1424,0.942416,574,576,0.996528,1
full_labelled_pool_correct_stratum,0.0,1424,1424,1.000000,576,576,1.000000,1
